entity,sentence,paragraph,sentence_original,label,class_ID
digital platforms,with Chinese entrepreneurs on digital platforms .,"Second, as Sequeira and Rasheed (2006) suggested, the family plays a significant role in giving convenient and low-cost sources of information support. Therefore, kinship members and close friends are willing to share inspiration, creative ideas on application development, unique insights into user requirement and valuable information regarding ""permits, laws, management practices, reliable suppliers, and promising business lines"" (Aldrich and Waldinger, 1990, p. 127) with Chinese entrepreneurs on digital platforms. ",with Chinese entrepreneurs on digital platforms.,background_information,3
research model,"with Alternative Models To increase the validity of our research model , besides theoretically grounding the model in the absorptive capacity theory , we further tested two alternative models and compared their model fit with our research model .","with Alternative Models To increase the validity of our research model, besides theoretically grounding the model in the ACAP theory, we further tested two alternative models and compared their model fit with our research model. The results corresponding to these three models are summarized in Table 3. We use both Akaike information criterion (AIC) (Akaike 1973) and Bayesian information criterion (BIC) (Schwarz 1978 , Wasserman 2000 to compare these three models. When two models fit on the same data, the model with the smaller value of the information criterion is considered to Table 2 Results Summary for Research Model be better. The BIC approach attempts to identify the model with the highest probabilities of being the ""true"" model for the data, assuming that one of the models under consideration is true. While AIC is defined without reference to a ""true model."" Instead, AIC uses expected prediction of future data as the key criterion of the adequacy of a model (for more discussion, see Sileshi 2006 , Acquah 2010 . Both indices of AIC and BIC are commonly used to assess the relative fit of models with count variables, although they differ in their definitions of good model fit. ","with Alternative Models To increase the validity of our research model, besides theoretically grounding the model in the ACAP theory, we further tested two alternative models and compared their model fit with our research model.",belongs_to_article,1
survey,"with 78 percent already adopting the standards or planning to implemetit an XML strategy during the year 2002 [ 40| . According to the survey , the reason that companies adopt is to support systems - integration strategies . Financial institutions specifically need the ability to access multiple systems in real time to allow them to offer specific services to customers , business partners , and suppliers on the Web - such as verifying credit , placing orders , or performing a trade . XML and Web services offer an economical solution for integrated business services to be delivered via the Web .","with 78 percent already adopting the standards or planning to implemetit an XML strategy during the year 2002 [40|. According to the survey, the reason that companies adopt is to support systems-integration strategies. Financial institutions specifically need the ability to access multiple systems in real time to allow them to offer specific services to customers, business partners, and suppliers on the Web-such as verifying credit, placing orders, or performing a trade. XML and Web services offer an economical solution for integrated business services to be delivered via the Web.","with 78 percent already adopting the standards or planning to implemetit an XML strategy during the year 2002 [40|. According to the survey, the reason that companies adopt is to support systems-integration strategies. Financial institutions specifically need the ability to access multiple systems in real time to allow them to offer specific services to customers, business partners, and suppliers on the Web-such as verifying credit, placing orders, or performing a trade. XML and Web services offer an economical solution for integrated business services to be delivered via the Web.",related_work,2
degrees of freedom,"with 1 , ( "" -k ) degrees of freedom where n is the sample size and k is the number of constructs in the model START_CITE [ 32 ] END_CITE CITE_b29 .","where Var(f,) = 1 -X^^-, X is the item loading, and E is the error. 6. The formula for computing/^ is (/?'partial mediation -R^ full mediation)/{l -/?^ partial mediation). The pseudo F-statistic is computed using the formula/-* (« -A -1). with 1, ("" -k) degrees of freedom where n is the sample size and k is the number of constructs in the model [32] . ","with 1, ("" -k) degrees of freedom where n is the sample size and k is the number of constructs in the model [32] .",belongs_to_article,1
R < 1,with 0 < q θ R < 1 2 oeθ 0 Θ may be uniquely optimal for the supply side function SH,with 0 < q θ R < 1 oeθ 0 Θ may be uniquely optimal for the supply side.,with 0 < q θ R < 1 oeθ 0 Θ may be uniquely optimal for the supply side.,belongs_to_article,1
P 21j,"with ( j − 10 ) being the number of years since the firm 's last closure or audit event , and h k the lower five elements of the firm 's state vector . Furthermore , if P 21j ≥ θ(j , h k ) as well ( where P 21j is the probability of transitioning to an audit Markov state given that closure was not available ) , then saying "" yes "" to closure is preferable to not having the option at all . Because the audit probability is increased if a firm is given the option and declines it ( relative to the case where there was no option at all ) , i.e. , P 11j ( 2 ) > P 21j , it will always be advantageous for the firm to have ( and use ) the option if it would be willing to do so under the "" usual "" lower audit probabilities . On the other hand , if P 11j ( 2 ) is below the threshold θ in ( 14 ) then so is P 21j , meaning that the firm 's reward would be lower under the option if taking the option is more expensive than discarding it . In general , the threshold θ that makes the option desirable for the firm depends on the firm 's state vector ( i.e. , on the Markov state , j , it is in , and on its past history of decisions , h k . However , there are choices for β , ' , and r ( including those in use today , discussed in the next section ) which are of practical interest and lead to the option being to the firm 's advantage uniformly , for any j and h k .","with (j − 10) being the number of years since the firm's last closure or audit event, and h k the lower five elements of the firm's state vector. Furthermore, if P 21j ≥ θ(j, h k ) as well (where P 21j is the probability of transitioning to an audit Markov state given that closure was not available), then saying ""yes"" to closure is preferable to not having the option at all. Because the audit probability is increased if a firm is given the option and declines it (relative to the case where there was no option at all), i.e., P 11j (2) > P 21j , it will always be advantageous for the firm to have (and use) the option if it would be willing to do so under the ""usual"" lower audit probabilities. On the other hand, if P 11j (2) is below the threshold θ in (14) then so is P 21j , meaning that the firm's reward would be lower under the option if taking the option is more expensive than discarding it. In general, the threshold θ that makes the option desirable for the firm depends on the firm's state vector (i.e., on the Markov state, j, it is in, and on its past history of decisions, h k . However, there are choices for β, ', and r (including those in use today, discussed in the next section) which are of practical interest and lead to the option being to the firm's advantage uniformly, for any j and h k . Based on the above discussion, if P 21j > θ(j, h k ) along the optimal trajectory, then the firm will always say yes to closure, and having the option to do so is better than the alternative. In that case, the value functions J k will be increasing in the closure probability, p o , for all k. To see why that is, notice that the reward function (9) is independent of p o and of the actual availability of closure, c k . Also, in terms of the state transitions (4), p o only affects Pr( = 1) (the probability of arriving at a state where the firm has the option to use closure) and none of the remaining elements of the state vector (in particular, s k ) on which the reward function depends. Thus, the term EJ kþ1 Ax k þ Bu k þ n k ð Þ in (11) will be increasing in p o , because an increase in p o simply corresponds to a higher probability of a more favorable outcome (namely closure). These facts imply [17] that the long-term optimal reward function J ∞ will be increasing in p o as well. ","with (j − 10) being the number of years since the firm's last closure or audit event, and h k the lower five elements of the firm's state vector. Furthermore, if P 21j ≥ θ(j, h k ) as well (where P 21j is the probability of transitioning to an audit Markov state given that closure was not available), then saying ""yes"" to closure is preferable to not having the option at all. Because the audit probability is increased if a firm is given the option and declines it (relative to the case where there was no option at all), i.e., P 11j (2) > P 21j , it will always be advantageous for the firm to have (and use) the option if it would be willing to do so under the ""usual"" lower audit probabilities. On the other hand, if P 11j (2) is below the threshold θ in (14) then so is P 21j , meaning that the firm's reward would be lower under the option if taking the option is more expensive than discarding it. In general, the threshold θ that makes the option desirable for the firm depends on the firm's state vector (i.e., on the Markov state, j, it is in, and on its past history of decisions, h k . However, there are choices for β, ', and r (including those in use today, discussed in the next section) which are of practical interest and lead to the option being to the firm's advantage uniformly, for any j and h k .",belongs_to_article,1
eWOM,will go beyond prior work by examining the differing motivations for creating positive electronic word-of-mouth or negative electronic word-of-mouth .,"will go beyond prior work by examining the differing motivations for creating positive eWOM or negative eWOM. Second, the six motives listed in Table 1 represent an inclusive list, one that contains inconsistent results. The first three motives -enjoyment, altruism, and attachment -are found to be consistently significant in affecting writers' behavior. Each are included in the present study. In the case of the fourth motive, utilitarian motivation, results are mixed. This variable is included in the present study because it is frequently reported that people intentionally write eWOM for monetary purposes [39, 40] . Indeed, of the motivations that have been identified, the potential to enhance one's own self-worth, concern for others, the desire for social interaction, and economic incentives are the most influential [7] . And the last two motives -product involvement and message involvement -are the least investigated and results across previous studies are not consistent. Given the inconsistent results and only sporadic interest in the final two items in the table -product involvement and message involvement -we have excluded the last two motives without further consideration.",will go beyond prior work by examining the differing motivations for creating positive eWOM or negative eWOM.,belongs_to_article,1
business models,will also require a fundamental transformation of existing strategies and business models . START_CITE Chesbrough ( 2003 ) END_CITE CITE_b21 states that an understanding of the ecosystem is critical to developing effective business models .,"will also require a fundamental transformation of existing strategies and business models. Chesbrough (2003) states that an understanding of the ecosystem is critical to developing effective business models. By visualizing the structure and potential dynamics of interfirm relations of the converging mobile ecosystem, the network approach presented in this study will thus help firms construct more valuable business models.",will also require a fundamental transformation of existing strategies and business models. Chesbrough (2003) states that an understanding of the ecosystem is critical to developing effective business models.,belongs_to_article,1
IT,"wiTh The adVenT of whaT is colloquially TeRmed The network , computer , or information age , there is growing recognition among business and information systems ( information systems ) executives that data , or more precisely , information , may be the only inimitable information technology resource that can create a sustainable competitive advantage START_CITE [ 27 , END_CITE CITE_b22 START_CITE 39 , END_CITE CITE_b33 START_CITE 48 ] END_CITE CITE_b42 .","wiTh The adVenT of whaT is colloquially TeRmed The network, computer, or information age, there is growing recognition among business and information systems (IS) executives that data, or more precisely, information, may be the only inimitable IT resource that can create a sustainable competitive advantage [27, 39, 48] . Industry surveys show that the volume of raw data stored in corporate data centers is doubling in size every other year, with some industries, most notably health care, doubling in size annually [25, 44] . As data is transformed into information for decision making, practitioners describe how an organization's ability to realize value from its information is based, in part, on how information is governed over its life cycle [24]. Based on prior studies by Khatri and Brown [18] , Kooper et al. [23] , and Weber et al. [51] , we define information governance as a collection of capabilities or practices for the creation, capture, valuation, storage, usage, control, access, archival, and deletion of information over its life cycle. 1 Exponential data growth, most notably in recent years when the pace of data growth has begun to outpace the rate of decline in hardware costs causing total storage spending to climb, has transformed information governance and its related practices into a top issue for senior business and IS management [24, 32, 42] . 2 The IS practitioner literature sees information governance as having two goals: (1) to maximize the value of information to the organization by ensuring that information is reliable, secure, and accessible for decision making and (2) to protect information so that its value to the organization is not diminished through technology or human error, loss of timely access, inappropriate use, or misadventure [18, 35, 44] . Achieving these goals has inspired organizations to consider a variety of different information governance practices. As shown in our literature review, much of what we know about information governance comes from a handful of case studies and framework analyses that offer insights into the role and composition of information governance. Some insights can also be gleaned from the mainstream IT governance literature, principally as to physical infrastructure or personnel skills needed to support data center management, data security, application use, and access control. however, since the mainstream IT governance literature has tended to highlight the management, use, and control of physical IT artifacts-defined by Orlikowski and Iacono [30] as bundles of properties (functions or capabilities) packaged in hardware or software, and objectified by the IT governance literature in the context of IT infrastructure, IT resource allocation, locus of IT decision making, IT planning/control, and project management-researchers may need to exercise caution in extrapolating what we know about governing physical IT artifacts to governing nonphysical or information artifacts. hence, a goal of this study is to motivate consideration of the information artifact within the confines of IT governance but with the knowledge that a more inclusive view of IT governance-one that expressly includes information-may need to consider issues that are exclusive to information. For example, unlike physical artifacts, information can be easily and quickly replicated and shared across vast distances. Information is not a wasting asset whose value declines as a function of increased use as is the case with IT hardware. Paradoxically, the value of information can increase with greater use [44] .","wiTh The adVenT of whaT is colloquially TeRmed The network, computer, or information age, there is growing recognition among business and information systems (IS) executives that data, or more precisely, information, may be the only inimitable IT resource that can create a sustainable competitive advantage [27, 39, 48] .",background_information,3
collaborative technologies,"why would the Groups that used a collaboration technoloGy be more likely to follow the stage model of group development while groups that did not use the technology follow the punctuated equilibrium model ? clearly , one plausible explanation lies in the nature of the technology . The new work processes enabled by the technology 's features might have induced different patterns of group development or have changed the ways a group adapted . As mentioned above , these collaborative technologies are designed to influence the process by which groups interact . However , we do not believe that the changes we observed are purely due to the nature of the technology per se . Note : for percentage fit , behaviors that were possibly , but not clearly , observed were counted as half .","why would the Groups that used a collaboration technoloGy be more likely to follow the stage model of group development while groups that did not use the technology follow the punctuated equilibrium model? clearly, one plausible explanation lies in the nature of the technology. The new work processes enabled by the technology's features might have induced different patterns of group development or have changed the ways a group adapted. As mentioned above, these collaborative technologies are designed to influence the process by which groups interact. However, we do not believe that the changes we observed are purely due to the nature of the technology per se. Note: for percentage fit, behaviors that were possibly, but not clearly, observed were counted as half.","why would the Groups that used a collaboration technoloGy be more likely to follow the stage model of group development while groups that did not use the technology follow the punctuated equilibrium model? clearly, one plausible explanation lies in the nature of the technology. The new work processes enabled by the technology's features might have induced different patterns of group development or have changed the ways a group adapted. As mentioned above, these collaborative technologies are designed to influence the process by which groups interact. However, we do not believe that the changes we observed are purely due to the nature of the technology per se. Note: for percentage fit, behaviors that were possibly, but not clearly, observed were counted as half.",belongs_to_article,1
standard deviation,"whose time elapsed was at least one and a half 1.5 times greater than the average duration , as calculated Ž in step 1 the ' 1.5 ' multiplying factor is based on the distribution of execution times and allows for the identification of those execution times which are more than one standard deviation away from the .","Time delays in execution were identified and tabulated as follows. First, for each individual, the average time required to perform an individual ac-Ž . tion was computed step 1 . Second, time delays were identified by denoting each individual action Ž . whose time elapsed was at least one and a half 1.5 times greater than the average duration, as calculated Ž in step 1 the '1.5' multiplying factor is based on the distribution of execution times and allows for the identification of those execution times which are more than one standard deviation away from the . mean . Such delays correspond to those instances when individuals had to pause in order to determine what action to take next and are indicative of implementation difficulties.","whose time elapsed was at least one and a half 1.5 times greater than the average duration, as calculated Ž in step 1 the '1.5' multiplying factor is based on the distribution of execution times and allows for the identification of those execution times which are more than one standard deviation away from the .",belongs_to_article,1
evaluation of Internet,whose primary goal is to produce theory driven criteria to guide the development and evaluation of Internet - based medical courses .,"Besides the generic, yet valuable approach proposed by Webster and Watson (2002) , there exist specific methods which serve the purpose of theory development. Paré and colleagues (2015) identified one particular theory-driven approach which is highly relevant to the IS field, that is, the realist review (Pawson, Greenhalgh, Harvey, & Walshe, 2005) . The main goal of a realist review is to unpack the mechanisms of how ""complex interventions"" work in particular contexts. The basic research question -what works? -which is usually associated with qualitative systematic reviews changes to: what is it about this intervention that works, for whom, in what circumstances, in what respects and why? Realist reviews have no particular preference for either quantitative or qualitative evidence. As a theory-building approach, a realist review usually starts by articulating likely underlying mechanisms and then scrutinises available evidence to find out whether and where these mechanisms are applicable (Shepperd et al., 2009 ). Primary studies found in the extant literature are viewed as case studies which can test and modify the initial theories (Rousseau, Manning, & Denyer, 2008 ). An example of IS-related realist review is the article by Wong and colleagues (2010) whose primary goal is to produce theory driven criteria to guide the development and evaluation of Internet-based medical courses. The authors identified two main theories of the course-in-context that explained variation in learners' satisfaction and outcomes. Results indicated that learners were more likely to accept an online course if it offered a perceived advantage over available non-Internet alternatives, was easy to use technically, and compatible with their values and norms. Importantly, interactivity led to effective learning only if learners were able to enter into a dialogue with a tutor, fellow students or virtual tutorials and gain formative feedback. ",whose primary goal is to produce theory driven criteria to guide the development and evaluation of Internet-based medical courses.,background_information,3
innovations,"who were responsible for innovations in skateboarding and windsurfing equipment START_CITE ( Shah , 2003 ) END_CITE CITE_b38",,,background_information,3
WeChat,who was considering whether or not to send a message in WeChat after online dating .,"who was considering whether or not to send a message in WeChat after online dating. Here, ""A,"" rather than a specific name, was used for 2 reasons. First, with a specific name, participants may not become involved in the scenario where the used name is not the same as their real name. The gender of participants may also not be consistent with that of the specific name. When he/she should be used in the scenario, ""TA"" (pronounced as ""he/she"" in Chinese, equivalent to ""they"" being used as a gender-neutral singular pronoun in English) was used instead. The interface of the hypothetical scenario is shown in Appendix B. ",who was considering whether or not to send a message in WeChat after online dating.,background_information,3
environmental sustainability,"who investigated the topic of environmental sustainability and IT with the goal to develop a holistic , transdisciplinary , integrative framework for business transformation .","We found a few narrative and theory development reviews in our sample that provide good illustrations of the application of this reporting guideline. The exemplar we selected is provided by Elliot (2011) who investigated the topic of environmental sustainability and IT with the goal to develop a holistic, transdisciplinary, integrative framework for business transformation. Consistent with Webster and Watson (2002) , the author adopted a highly structured and transparent approach to identifying and conceptualising relevant materials. Considering the huge volume of literature on this topic, ""the initial or scoping phase sought to examine authoritative sources to determine a problem specification, propose a focus and scope, and suggest a structure for the review to meet the aims of this article"" (p. 201). Seventeen authoritative sources, including seminal, intergovernmental, governmental, practitioner, and social activist reports, were identified by the author during several years of work in this domain. According to the author, purposive sampling was necessary as the authoritative sources were not necessarily identifiable through searches of academic literature. ","who investigated the topic of environmental sustainability and IT with the goal to develop a holistic, transdisciplinary, integrative framework for business transformation.",background_information,3
IT,who found that the number of information technology signals varied across different industries depending on the information technology 's role .,"(2010) who found that the number of IT signals varied across different industries depending on the IT's role. Consequently, we could expect varying market reactions to announcements across industries.",who found that the number of IT signals varied across different industries depending on the IT's role.,background_information,3
survey,who completed the survey on Mechanical Turk for a small monetary payment .,"To confirm the high prosocial nature of the project description used in this study, we conducted a post-test with forty-nine participants (21 females",,belongs_to_article,1
technology infrastructure,who are able to implement and support the technology infrastructure and business process choreography .,"who are able to implement and support the technology infrastructure and business process choreography. Overall, firms with a greater technology readiness are in a position conducive to adopt and implement IBPS.",who are able to implement and support the technology infrastructure and business process choreography.,belongs_to_article,1
reflective indicators,while y 1 -y 4 are specified as reflective indicators of a separate construct η 2 ( ETA2 ) .,"while y 1 -y 4 are specified as reflective indicators of a separate construct η 2 (ETA2). Note the fixing of the error variance of ETA1 to zero and also the inclusion of the SO option in the ""Options"" line (the latter option is necessary when using a formative indicator as a marker variable for scaling purposes",,belongs_to_article,1
event studies,"while typical event studies use very short event windows ( typically less than 10 days ) , risk measures are known to persist over a longer period .","Downside risk we operationalize downside risk as firm performance relative to industry performance. the relevant industry classification was the three-code North American Industry Classification System classification. to calculate the downside risk metric and its determinants, we employed a couple of measures: one market based and the other accounting based. for the market-based measure, two contiguous 60-day periods (-70 to -10 days and 10 to 70 days) were used. while typical event studies use very short event windows (typically less than 10 days), risk measures are known to persist over a longer period. Specifically, our choice of the 60-day window length is based on empirical findings in the finance and accounting literature indicating that there is persistence in post-earnings-announcement drift up to 60 trading days subsequent to the earnings announcement (and even up to 120 trading days for large firms) [5] . we elected to exclude a 10-day window surrounding the announcement date to provide a reasonable assurance that any downside risk captured by our calculations would not be biased by the announcement effect and that any volatility associated with the short-term announcement would not be included in our measure of downside risk. 1 for the accounting-based measure (return on assets [rOA]) of downside risk, two contiguous three-year periods (-4 to -1 years and 1 to 4 years) were used. the two three-year periods were selected to obtain sufficient data to construct the downside risk measure. we excluded the year of announcement to provide a higher degree of assurance that any changes in downside risk would not be biased by the announcement effect and that any volatility associated with the announcement would not be included in our measure of downside risk.","while typical event studies use very short event windows (typically less than 10 days), risk measures are known to persist over a longer period.",background_information,3
theorizing,"while this simultaneous need for alignment and adaptation is pervasive in theorizing about interfirm control mechanisms [ 56 ] , few empirical studies have directly and simultaneously assessed both facets .","recognizing the Dual role of Control Mechanisms in Systems Development the role of controls in facilitating alignment of vendor activities with client objectives is explicitly recognized, whereas their role in facilitating adaptation in systems development projects is pervasive but implicit in prior research. For example, Henderson and lee [40] have shown that formal controls are associated with project efficiency and effectiveness. Similarly, tiwana and Keil [90] have recently shown how different controls differ in their impact on performance in internal and outsourced projects. However, besides alignment, both the interfirm governance literature [16, 17, 44, 50] and the tCE and relational contracting perspectives (e.g., [52, 95] ) implicitly recognize the need for adaptiveness to correct misalignments with evolving client imperatives. while this simultaneous need for alignment and adaptation is pervasive in theorizing about interfirm control mechanisms [56], few empirical studies have directly and simultaneously assessed both facets. Similarly, the requirements analysis literature has also emphasized the need for software projects to meet requirements that are representative of actual user needs [58] , which themselves might evolve over the course of systems development. Inattention to flexibility in the systems development process is also an explicitly recognized theoretical gap in the IS controls literature [90]. Systems development ambidexterity is therefore a theoretically useful representation of software development performance, which is subsequently demonstrated in this paper as also being associated with classical efficiency and effectiveness measures of performance.","while this simultaneous need for alignment and adaptation is pervasive in theorizing about interfirm control mechanisms [56], few empirical studies have directly and simultaneously assessed both facets.",background_information,3
survey,"while this concern can be alleviated by collecting data from more than one respondent per firm , it can be pragmatically difficult to do so due to the data attrition that occurs when only one of the contacted persons responds to their portion of the survey .","One of the major concerns with self-report data is common method bias. while this concern can be alleviated by collecting data from more than one respondent per firm, it can be pragmatically difficult to do so due to the data attrition that occurs when only one of the contacted persons responds to their portion of the survey. Similarly, while the concern can be alleviated by collecting information about the dependent variable from a secondary source, it is difficult to obtain objective process-level performance data. given these practical constraints, we took steps to design the instrument to safeguard against common method bias by using concise and clear items, employing a mix of likert, guttman, and ratio scales to measure independent and dependent variables, and controlling for scale length [53] .","while this concern can be alleviated by collecting data from more than one respondent per firm, it can be pragmatically difficult to do so due to the data attrition that occurs when only one of the contacted persons responds to their portion of the survey.",background_information,3
database,"while they consider fairness to the database creators , they are also concerned with social welfare , which is the value to all stakeholders .","Policymakers tend to approach the issue from a different perspective. while they consider fairness to the database creators, they are also concerned with social welfare, which is the value to all stakeholders. when the European union introduced the Database Directives, one of the main objectives was to stimulate the database production industry by providing protection to the investment in database creation. when a database is created mainly for the purpose of supporting the firm's core business, increased legal protection has little impact on the incentives of creating the database. thus we focus our analysis on databases created for sale.","while they consider fairness to the database creators, they are also concerned with social welfare, which is the value to all stakeholders.",background_information,3
strategic management,"while the traditional financial economics and decision theory perspectives on risk provide valuable insights and have been the cornerstones of empirical analysis , they obscure an understanding of risk in a strategic management context START_CITE [ 6 ] END_CITE CITE_b5 .","while the traditional financial economics and decision theory perspectives on risk provide valuable insights and have been the cornerstones of empirical analysis, they obscure an understanding of risk in a strategic management context [6] . the strategic management perspective on risk attempts to provide broader conceptualization of risk that is consistent with managerial views. March and Shapira [40] contend that managers have a substantially different conceptualization of risk than do financial economists and decision theorists. Managerial concepts on risk seem to focus more on organizational losses than organizational gains. Managers tend to be more concerned about downside risk than about outcome variability [30, 57] . Some empirical evidence from the management literature also suggests that downside risk is more relevant to decision makers than the total variance of outcomes (e.g., [54] ). therefore, variance measures may be less relevant to managerial decision-making behavior than measures focusing on downside risk characteristics. In contrast to decision theory, which views a firm with consistent performance to be less risky, a strategic management perspective would suggest that considerable risk is associated with a firm performing consistently below the profitability of its rivals [3, 40] . the strategic management perspective of risk is rooted in the concept of competitive advantage. In a competitive environment, a better-performing firm gains competitive advantage over a poorer-performing firm [44, 49]. Over an extended period, the firm with consistently lower returns than its rivals is in danger of failing. thus, the strategic management perspective defines risk in terms of relative performance [40, 47].","while the traditional financial economics and decision theory perspectives on risk provide valuable insights and have been the cornerstones of empirical analysis, they obscure an understanding of risk in a strategic management context [6] .",background_information,3
organization size,"while the percentage of organization size categories varied in each region , overall about 39 percent of our responding organizations had fewer than 500 employees , 43 percent of them had between 500 and 5,000 employees , and 18 percent had more than 5,000 employees .","table 2 shows the number of employees in our sample across all the five regions. while the percentage of organization size categories varied in each region, overall about 39 percent of our responding organizations had fewer than 500 employees, 43 percent of them had between 500 and 5,000 employees, and 18 percent had more than 5,000 employees. table 3 shows the number of organizations and the percentage of all the organizations in each of the five regions that had assimilated cIts. the overall percentages indicate a wide variation in the assimilation patterns of individual cIts. at the top end, almost 99 percent of the organizations in our sample had assimilated e-mail, 70 percent had assimilated teleconferencing, and 56 percent had assimilated videoconferencing. the reduction in overall assimilation of teleconferencing and videoconferencing can be attributed to their relatively low assimilation rates in Norway and Switzerland as compared to the other three regions. at the bottom end, only about 29 percent of organizations had assimilated electronic meeting systems in the five regions. table 4 shows the perceived organizational benefits for the six cIts analyzed in this paper. In our study, respondents found that teleconferencing resulted in the most benefits. For every benefit mentioned, teleconferencing had the highest number of respondents agreeing that it did indeed result in that benefit, averaging over 50 percent across all benefits. Videoconferencing was second highest, averaging nearly 47 percent. proprietary groupware followed with 40 percent, and data conferencing and web-based tools both had an average of about 33 percent agreement across all benefits. Finally, for every benefit mentioned, electronic meeting systems had the lowest number of respondents agreeing that it resulted in the benefit, for an average of about 25 percent. this may be one important reason that electronic meeting systems was least likely to be assimilated and used by the respondents in our study.","while the percentage of organization size categories varied in each region, overall about 39 percent of our responding organizations had fewer than 500 employees, 43 percent of them had between 500 and 5,000 employees, and 18 percent had more than 5,000 employees.",belongs_to_article,1
prior research,"while the main benefit of using real options analysis stems from the ability to reduce downside risk of investments , most prior research has discussed this generally in relation to managerial flexibility in making the investment .","we grounded our research in real options and rBV logic, and the results are largely consistent with our theoretical reasoning. from the theoretical perspective, our study alerts researchers especially on the use of real options thinking to analyze the business value of It investments made under uncertainty. while the main benefit of using real options analysis stems from the ability to reduce downside risk of investments, most prior research has discussed this generally in relation to managerial flexibility in making the investment. we draw attention to endogenous uncertainty, whose resolution requires active learning and engagement in business experiments through r&D. this not only contributes to real options thinking but also ties it to organizational learning and absorptive capacity literature. It has been pointed out that those It investments that contribute to exploitable absorptive capacity can lead to higher payoffs in the future [22] . Our analysis also reinforces the utility of the rBV as a theoretical lens to illuminate competitive advantage-related research. from a practical perspective, our study alerts managers to the need to understand the nature of uncertainty surrounding an It investment. If such uncertainty is exogenous (e.g., uncertainty surrounding an emerging technology that is not yet widely utilized) or does not require extensive learning, it may be prudent to ""wait and see."" However, if the uncertainty is endogenous (due to the resulting business process transformation) and extensive learning is required, it may be prudent to adopt the technology early and engage in active learning by conducting business experiments required to resolve this type of uncertainty. Of course, this will be influenced by the level of absorptive capacity of the organization. thus, forward-looking organizations should continuously build their absorptive capacity, say, through investment in r&D. furthermore, managers also need to evaluate whether a given It investment contributes to competitive advantage. for It investments that are largely competitive necessities, it is advisable to undertake such investments at the same time with industry participants to maintain competitive parity. limitations althOuGh Our StuDy iS theOretically GrOunDeD, it has some limitations. first, we used a cross-sectional data set limiting our ability to uncover dynamic processes and sequential investment strategy, which are needed to contain downside risk. for example, the resolution of uncertainty through learning and business experimentation is a dynamic process that extends, perhaps, through several periods. future research should undertake a longitudinal study to examine the effects investigated in this study. Despite this limitation, we still found considerable support for our hypotheses. Consistent with our theorizing, transformational and informate It investments lead to a reduction in downside risk only if they are made early. for automate It investments, the hypothesized effect of parity timing is supported. ","while the main benefit of using real options analysis stems from the ability to reduce downside risk of investments, most prior research has discussed this generally in relation to managerial flexibility in making the investment.",background_information,3
real options,"while the main benefit of using real options analysis stems from the ability to reduce downside risk of investments , most prior research has discussed this generally in relation to managerial flexibility in making the investment .","we grounded our research in real options and rBV logic, and the results are largely consistent with our theoretical reasoning. from the theoretical perspective, our study alerts researchers especially on the use of real options thinking to analyze the business value of It investments made under uncertainty. while the main benefit of using real options analysis stems from the ability to reduce downside risk of investments, most prior research has discussed this generally in relation to managerial flexibility in making the investment. we draw attention to endogenous uncertainty, whose resolution requires active learning and engagement in business experiments through r&D. this not only contributes to real options thinking but also ties it to organizational learning and absorptive capacity literature. It has been pointed out that those It investments that contribute to exploitable absorptive capacity can lead to higher payoffs in the future [22] . Our analysis also reinforces the utility of the rBV as a theoretical lens to illuminate competitive advantage-related research. from a practical perspective, our study alerts managers to the need to understand the nature of uncertainty surrounding an It investment. If such uncertainty is exogenous (e.g., uncertainty surrounding an emerging technology that is not yet widely utilized) or does not require extensive learning, it may be prudent to ""wait and see."" However, if the uncertainty is endogenous (due to the resulting business process transformation) and extensive learning is required, it may be prudent to adopt the technology early and engage in active learning by conducting business experiments required to resolve this type of uncertainty. Of course, this will be influenced by the level of absorptive capacity of the organization. thus, forward-looking organizations should continuously build their absorptive capacity, say, through investment in r&D. furthermore, managers also need to evaluate whether a given It investment contributes to competitive advantage. for It investments that are largely competitive necessities, it is advisable to undertake such investments at the same time with industry participants to maintain competitive parity. limitations althOuGh Our StuDy iS theOretically GrOunDeD, it has some limitations. first, we used a cross-sectional data set limiting our ability to uncover dynamic processes and sequential investment strategy, which are needed to contain downside risk. for example, the resolution of uncertainty through learning and business experimentation is a dynamic process that extends, perhaps, through several periods. future research should undertake a longitudinal study to examine the effects investigated in this study. Despite this limitation, we still found considerable support for our hypotheses. Consistent with our theorizing, transformational and informate It investments lead to a reduction in downside risk only if they are made early. for automate It investments, the hypothesized effect of parity timing is supported. ","while the main benefit of using real options analysis stems from the ability to reduce downside risk of investments, most prior research has discussed this generally in relation to managerial flexibility in making the investment.",related_work,2
